지점ID,지점명,전화번호,도로명주소,지번주소,관리주체,공통관리여부
11722131,KDB산업은행 강남지점,02-560-0300,"서울특별시 강남구 영동대로 508, 영보빌딩",서울특별시 강남구 삼성동 168-1,네이버,O
11722213,KDB산업은행 일산지점,031-920-4000,"경기도 고양시 일산동구 중앙로 1201, 모아나빌딩",경기도 고양시 일산동구 장항동 890,네이버,O
11722215,KDB산업은행 분당지점,031-789-1500,"경기도 성남시 분당구 서현로 200, 삼성생명보험 사옥",경기도 성남시 분당구 서현동 245-5,네이버,O
11722216,KDB산업은행 수원지점,031-220-7300,경기도 수원시 팔달구 효원로 295,"경기도 수원시 팔달구 인계동 1122-12, 경기도새마을회 빌딩 1, 2층",개별점주,O
11722217,KDB산업은행 시화지점,031-496-4400,"경기도 시흥시 정왕대로 188, 한국산업은행",경기도 시흥시 정왕동 1726-5,네이버,O
11722218,KDB산업은행 안산지점,031-412-0600,"경기도 안산시 단원구 광덕대로 271, 한국산업은행안산지점",경기도 안산시 단원구 고잔동 523-8,네이버,O
11722219,KDB산업은행 안양지점,031-380-0900,"경기도 안양시 동안구 부림로169번길 42, 한국산업은행 안양지점",경기도 안양시 동안구 관양동 1588-11,네이버,O
11722220,KDB산업은행 평택지점,031-659-0500,"경기도 평택시 평택5로20번길 39, 합정동 타임스퀘어 2층","경기도 평택시 합정동 964-13, 타임스퀘어 2층",네이버,O
11722221,KDB산업은행 진주지점,055-749-4300,"경상남도 진주시 향교로 3, 진주롯데인벤스 2층","경상남도 진주시 평안동 47, 진주롯데인벤스 2층",네이버,O
11722222,KDB산업은행 창원지점,055-268-2700,경상남도 창원시 성산구 상남로 25,경상남도 창원시 성산구 상남동 69-4,네이버,O
11722223,KDB산업은행 구미지점,054-450-4700,경상북도 구미시 송정대로 107,경상북도 구미시 송정동 78,네이버,O
11722224,KDB산업은행 포항지점,054-288-4500,"경상북도 포항시 북구 중흥로 156, 한국산업은행포항지점","경상북도 포항시 북구 죽도동 657-8, 1층",네이버,O
11722225,KDB산업은행 광주지점,062-958-1000,광주광역시 광산구 무진대로 261,광주광역시 광산구 우산동 1584-1,네이버,O
11722226,KDB산업은행 성서지점,053-605-4600,대구광역시 달서구 성서공단로 114,대구광역시 달서구 월암동 1-15,네이버,O
11722228,KDB산업은행 대전지점,042-600-6200,대전광역시 서구 둔산서로 137,대전광역시 서구 둔산동 946,네이버,O
11722229,KDB산업은행 금정지점,051-510-4700,"부산광역시 금정구 중앙대로 1817, BN빌딩",부산광역시 금정구 구서동 84-18,네이버,O
11722230,KDB산업은행 부산지점,051-240-1600,부산광역시 중구 대청로 136,부산광역시 중구 중앙동2가 44-1,네이버,O
11722231,KDB산업은행 울산지점,052-270-4900,울산광역시 남구 봉월로 56,울산광역시 남구 신정동 1156-4,네이버,O
11722232,KDB산업은행 인천지점,032-450-3400,"인천광역시 남동구 미래로 42, 코아루파크드림 2층",인천광역시 남동구 구월동 1140,네이버,O
11722233,KDB산업은행 목포지점,061-280-5400,"전라남도 목포시 백년대로 306, 한국산업은행목포지점영업소",전라남도 목포시 상동 889-2,네이버,O
11722234,KDB산업은행 여수지점,061-690-8500,"전라남도 여수시 시청로 30, 산업은행 여수지점",전라남도 여수시 학동 36,네이버,O
11722236,KDB산업은행 전주지점,063-230-6600,"전라북도 전주시 완산구 전라감영5길 18, KDB산업은행",전라북도 전주시 완산구 경원동1가 103,네이버,O
11722238,KDB산업은행 천안지점,041-559-2600,"충청남도 천안시 동남구 만남로 82, 소암빌딩",충청남도 천안시 동남구 신부동 494-6,네이버,O
11722239,KDB산업은행 청주지점,043-229-2900,"충청북도 청주시 상당구 성안로 16, 산업은행",충청북도 청주시 상당구 북문로1가 172,네이버,O
11722240,KDB산업은행 충주지점,043-850-7700,충청북도 충주시 계명대로 195,충청북도 충주시 연수동 454-71,개별점주,O
11722241,KDB산업은행 금천지점,02-3282-8900,서울특별시 금천구 시흥대로 488,서울특별시 금천구 독산동 954-4,네이버,O
11722242,KDB산업은행 노원지점,02-950-9500,"서울특별시 노원구 노해로 467, 교보생명보험(주)","서울특별시 노원구 상계동 712-1, 교보생명빌딩 1,2층",네이버,O
