고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
남해화학(주),여수지점,서울 강남구 테헤란로113길 15,상장,적정,대기업,202205,"31,950 ","6,193 ","2,378 ",2021,"1,451,884 ","1,009,845 ","1,187,201 ","20,491 ","26,392 ","15,331 ","21,664 ","25,044 ","16,041 ",서울,강남구,삼성동,127.065786608589,37.5110896924162
(주)와이엔텍,여수지점,전남 여수시 여수산단로 1232,코스닥,적정,대기업,202205,"40,475 ","43,550 ","46,850 ",2021,"106,327 ","99,975 ","86,238 ","33,031 ","29,956 ","22,864 ","24,408 ","20,371 ","16,774 ",전남,여수시,월내동,127.734342594555,34.8515986582816
(주)제철산업,여수지점,경남 진주시 이반성면 진마대로2498번길 10-12,일반,,중소기업,202205,"3,000 ","3,000 ","3,500 ",2021,"9,287 ","7,502 ","7,234 ",193 ,211 ,265 ,249 ,205 ,147 ,경남,진주시,이반성면 길성리,128.322457952534,35.1495599908176
창신화학(주),여수지점,전남 여수시 여수산단로 534,외감,적정,중소기업,202205,"9,550 ","10,013 ","10,250 ",2021,"31,266 ","18,994 ","17,156 ","4,141 ","1,710 ",924 ,"3,463 ","1,292 ",647 ,전남,여수시,중흥동,127.682826091893,34.8245396056188
대양해운(주),여수지점,제주 제주시 동문로 125,외감,,중소기업,202205,"3,300 ","3,300 ","2,000 ",2021,"12,088 ","2,985 ","2,568 ",-939 ,"-3,442 ","-3,626 ",-933 ,"-3,549 ","-3,422 ",제주특별자치도,제주시,건입동,126.540101516932,33.5140751365415
(주)진주햄,여수지점,경남 양산시 유산공단7길 39,외감,적정,대기업,202205,"8,500 ","8,500 ","8,500 ",2021,"110,984 ","100,109 ","104,965 ","3,728 ","2,432 ","1,077 ","3,511 ","1,945 ",477 ,경남,양산시,유산동,129.033040969785,35.3638258045504
재원산업(주),여수지점,전남 여수시 낙포단지길 79,외감,적정,대기업,202205,"33,575 ","34,081 ","41,350 ",2021,"232,421 ","205,384 ","203,411 ","13,101 ","10,047 ","4,190 ","23,733 ","16,137 ","10,963 ",전남,여수시,낙포동,127.76204366561,34.8634234044147
유한기술(주),여수지점,전남 여수시 여수산단로 810,외감,적정,대기업,202205,"12,000 ","13,000 ","1,000 ",2021,"161,065 ","186,981 ","171,601 ","8,303 ","5,504 ","17,173 ","6,787 ","4,447 ","9,975 ",전남,여수시,중흥동,127.698004405739,34.8459461734726
(주)중원,여수지점,경남 김해시 진례면 진례로147번길 37,일반,,중소기업,202205,"2,500 ","3,500 ","3,500 ",2021,"11,522 ","13,309 ","8,527 ",617 ,"1,067 ",256 ,581 ,"1,093 ",124 ,경남,김해시,진례면 송정리,128.74711055876,35.2385904107481
(주)파루,여수지점,전남 순천시 서면 산단4길 12,코스닥,적정,중소기업,202205,"12,000 ","12,000 ","12,000 ",2021,"43,123 ","40,984 ","52,213 ","-2,024 ","-13,833 ","1,000 ","-1,958 ","-22,939 ",131 ,전남,순천시,서면 선평리,127.505590219084,34.9818533221524
(주)제철공무,여수지점,전남 광양시 옥곡면 신금산단1길 44-9,일반,,중소기업,202205,"2,000 ","2,000 ","2,000 ",2021,"20,995 ","19,320 ","16,651 ",865 ,788 ,444 ,673 ,677 ,362 ,전남,광양시,옥곡면 신금리,127.726244943864,34.9694344638283
(주)픽슨,여수지점,전남 광양시 광양읍 인덕로 1077,외감,적정,중소기업,202205,"2,390 ","2,390 ","2,390 ",2021,"21,041 ","17,953 ","21,225 ",968 ,928 ,"1,783 ",355 ,197 ,"1,355 ",전남,광양시,광양읍 칠성리,127.582411279401,34.9787465323496
평화해운(주),여수지점,"전남 고흥군 도양읍 비봉로 266-16, 2층 204호",일반,,중소기업,202205,200 ,200 ,200 ,2021,0 ,"3,924 ","3,567 ",0 ,407 ,149 ,0 ,336 ,73 ,전남,고흥군,도양읍 봉암리,127.144320047517,34.5228380519354
(주)재원인더스트리,여수지점,"서울 영등포구 여의나루로 60, 8층",외감,적정,중소기업,202205,"3,000 ","3,000 ","3,000 ",2021,"21,316 ","16,862 ","24,032 ","1,314 ","1,565 ","1,115 ","2,707 ","1,283 ","1,270 ",서울,영등포구,여의도동,126.926225192863,37.5223003029771
(주)스노젠,여수지점,충남 천안시 동남구 광덕면 세종로 4162,외감,적정,중소기업,202205,"4,200 ","1,000 ","6,041 ",2021,"38,872 ","25,535 ","27,012 ","1,497 ","2,115 ","1,781 ","1,490 ","1,477 ","1,730 ",충남,천안시 동남구,광덕면 행정리,127.159852447491,36.6925607948844
(주)에스에프시,여수지점,전남 여수시 여수산단1로 342-42,외감,적정,중소기업,202205,"34,179 ","32,860 ","17,142 ",2021,"114,858 ","81,726 ","82,987 ","1,809 ","4,896 ","6,646 ","1,800 ","3,957 ","5,027 ",전남,여수시,화치동,127.648580421335,34.8316257675123
(유)케이엠티,여수지점,전남 여수시 상암로 344,외감,적정,중소기업,202205,0 ,0 ,0 ,2021,"35,330 ","92,925 ","67,000 ","7,163 ","2,855 ","1,477 ","5,498 ","2,103 ","1,124 ",전남,여수시,호명동,127.719593910851,34.8035523625774
(주)엠이시,여수지점,전남 광양시 옥곡면 신금산단5길 30,외감,적정,중소기업,202205,"5,141 ","5,383 ","5,843 ",2021,"10,404 ","10,519 ","12,216 ","1,076 ",381 ,"1,040 ",500 ,127 ,557 ,전남,광양시,옥곡면 신금리,127.714186502016,34.9770256925224
(주)엘에프,여수지점,서울 강남구 언주로 870,상장,적정,대기업,202205,"21,591 ","21,829 ","32,078 ",2021,"1,145,492 ","1,115,870 ","1,405,259 ","78,023 ","47,720 ","90,425 ","142,953 ","39,683 ","73,927 ",서울,강남구,신사동,127.034063337955,37.5280188930679
(주)아텍,여수지점,전남 순천시 서면 승주로 1372,일반,,중소기업,202205,"2,500 ","2,500 ","2,500 ",2021,"9,483 ","5,198 ","7,510 ",668 ,112 ,618 ,634 ,122 ,537 ,전남,순천시,서면 대구리,127.436976802361,35.0316486634531
보고예선(주),여수지점,경남 사천시 향촌동 994-18번지,일반,,중소기업,202205,"3,100 ","3,100 ","3,100 ",2021,"3,286 ","3,037 ","2,671 ",-84 ,163 ,38 ,-124 ,129 ,105 ,경남,사천시,향촌동,128.091235717271,34.9315746864466
(주)신성메이저글러브,여수지점,전남 순천시 서면 산단4길 30,외감,적정,중소기업,202205,"11,990 ","12,204 ","12,160 ",2021,"23,473 ","20,064 ","19,141 ","1,455 ","1,107 ","1,866 ",678 ,120 ,931 ,전남,순천시,서면 압곡리,127.508172190726,34.9811064815649
(주)강동아스콘,여수지점,전남 광양시 광양읍 직동2길 15,일반,,중소기업,202205,0 ,0 ,0 ,2021,0 ,"5,674 ","7,007 ",0 ,"1,207 ","1,573 ",0 ,"1,418 ","1,442 ",전남,광양시,광양읍 죽림리,127.642158645367,34.9643304621888
(주)하이테크엔지니어링,여수지점,전남 여수시 여수산단1로 366,외감,적정,대기업,202205,"4,240 ","4,240 ","8,738 ",2021,"160,450 ","127,275 ","140,206 ","19,253 ","4,251 ","6,626 ","12,761 ","3,024 ","4,834 ",전남,여수시,화치동,127.647706114089,34.8334002112351
(주)한라해운,여수지점,제주 제주시 동문로 125,일반,,중소기업,202205,700 ,700 ,0 ,2021,"3,520 ",344 ,518 ,-156 ,"-1,783 ","-1,813 ",-163 ,"-1,759 ","-1,684 ",제주특별자치도,제주시,건입동,126.540101516932,33.5140751365415
