은행명(1),ⓐ지로코드(2),특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3
산업은행,27164,서울특별시,금천구,가산동,가산디지털1로,128,서울특별시 금천구 가산디지털1로,서울특별시 금천구 가산디지털1로 128,서울,금천구,가산동
산업은행,27025,서울특별시,강남구,삼성동,영동대로,508,서울특별시 강남구 영동대로,서울특별시 강남구 영동대로 508,서울,강남구,삼성동
산업은행,27384,경상북도,경산시,정평동,대학로,73,경상북도 경산시 대학로,경상북도 경산시 대학로 73,경북,경산시,정평동
산업은행,27533,경상북도,경주시,성동동,화랑로,125,경상북도 경주시 화랑로,경상북도 경주시 화랑로 125,경북,경주시,성동동
산업은행,27601,광주광역시,광산구,우산동,무진대로,261,광주광역시 광산구 무진대로,광주광역시 광산구 무진대로 261,광주,광산구,우산동
산업은행,28503,경상북도,구미시,송정동,송정대로,107,경상북도 구미시 송정대로,경상북도 구미시 송정대로 107,경북,구미시,송정동
산업은행,28804,전라북도,군산시,수송동,월명로,206,전라북도 군산시 월명로,전라북도 군산시 월명로 206,전북,군산시,수송동
산업은행,27355,광주광역시,동구,금남로5가,금남로,168,광주광역시 동구 금남로,광주광역시 동구 금남로 168,광주,동구,금남로5가
산업은행,27834,부산광역시,금정구,구서동,중앙대로,1817,부산광역시 금정구 중앙대로,부산광역시 금정구 중앙대로 1817,부산,금정구,구서동
산업은행,27012,서울특별시,금천구,독산동,시흥대로,488,서울특별시 금천구 시흥대로,서울특별시 금천구 시흥대로 488,서울,금천구,독산동
산업은행,27067,경기도,김포시,감정동,중봉로,15,경기도 김포시 중봉로,경기도 김포시 중봉로 15,경기,김포시,감정동
산업은행,28121,경상남도,김해시,내동,내외중앙로,81,경상남도 김해시 내외중앙로,경상남도 김해시 내외중앙로 81,경남,김해시,내동
산업은행,27342,울산광역시,남구,삼산동,화합로,162,울산광역시 남구 화합로,울산광역시 남구 화합로 162,울산,남구,삼산동
산업은행,27038,서울특별시,노원구,상계동,노해로,467,서울특별시 노원구 노해로,서울특별시 노원구 노해로 467,서울,노원구,상계동
산업은행,27847,부산광역시,강서구,송정동,녹산산단335로,04월 19일,부산광역시 강서구 녹산산단335로,부산광역시 강서구 녹산산단335로 1205,NAN,NAN,NAN
산업은행,28710,충청남도,당진시,읍내동,당진중앙2로,211-15,충청남도 당진시 당진중앙2로,충청남도 당진시 당진중앙2로 211-15,충남,당진시,읍내동
산업은행,27708,대구광역시,중구,동인동2가,국채보상로,648,대구광역시 중구 국채보상로,대구광역시 중구 국채보상로 648,대구,중구,동인동2가
산업은행,27449,대전광역시,유성구,관평동,테크노4로,105,대전광역시 유성구 테크노4로,대전광역시 유성구 테크노4로 105,대전,유성구,관평동
산업은행,27300,대전광역시,서구,둔산동,둔산서로,137,대전광역시 서구 둔산서로,대전광역시 서구 둔산서로 137,대전,서구,둔산동
산업은행,27177,서울특별시,강남구,대치동,남부순환로,2947,서울특별시 강남구 남부순환로,서울특별시 강남구 남부순환로 2947,서울,강남구,대치동
산업은행,27054,서울특별시,강남구,도곡동,언주로30길,21,서울특별시 강남구 언주로30길,서울특별시 강남구 언주로30길 21,서울,강남구,도곡동
산업은행,27096,서울특별시,중구,신당동,다산로,289,서울특별시 중구 다산로,서울특별시 중구 다산로 289,서울,중구,신당동
산업은행,27368,경기도,화성시,반송동,동탄솔빛로,51,경기도 화성시 동탄솔빛로,경기도 화성시 동탄솔빛로 51,경기,화성시,반송동
산업은행,27520,경상남도,창원시 마산회원구,석전동,3.15대로,700,경상남도 창원시 마산회원구 3.15대로,경상남도 창원시 마산회원구 3.15대로 700,경남,창원시 마산회원구,석전동
산업은행,23155,서울특별시,마포구,서교동,양화로,127,서울특별시 마포구 양화로,서울특별시 마포구 양화로 127,서울,마포구,서교동
산업은행,28901,전라남도,목포시,상동,백년대로,306,전라남도 목포시 백년대로,전라남도 목포시 백년대로 306,전남,목포시,상동
산업은행,23443,경기도,안산시 단원구,신길동,중앙대로,415,경기도 안산시 단원구 중앙대로,경기도 안산시 단원구 중앙대로 415,경기,안산시 단원구,신길동
산업은행,27083,서울특별시,서초구,반포동,반포대로,287,서울특별시 서초구 반포대로,서울특별시 서초구 반포대로 287,서울,서초구,반포동
산업은행,27805,부산광역시,중구,중앙동2가,대청로,136,부산광역시 중구 대청로,부산광역시 중구 대청로 136,부산,중구,중앙동2가
