은행명(1),ⓐ지로코드(2),지로코드 수정,특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3,From_금결
산업은행,27847,0027847,부산광역시,강서구,송정동,녹산산단335로,04월 19일,부산광역시 강서구 녹산산단335로,부산광역시 강서구 녹산산단335로 1205,부산,강서구,명지동,부산광역시　강서구　명지국제２로　８０　２층（명지동，　ｅ편한세상　명지）　　　　　　　　　　　　　
산업은행,27245,0027245,경기도,군포시,산본동,산본천로,Jun-43,경기도 군포시 산본천로,경기도 군포시 산본천로 15858,경기,군포시,산본동,경기도　군포시　산본천로　４３－６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,100052,0100052,세종특별자치시,,나성동,노을4로,13,세종특별자치시  노을4로,세종특별자치시  노을4로 13,세종특별자치시,,나성동,세종특별자치시　　정부２청사로　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,101941,0101941,경기도,용인시,수지구,만현로,Apr-82,경기도 용인시 만현로,경기도 용인시 만현로 30042,경기,용인시 수지구,상현동,경기도　용인시　수지구　만현로　８２－４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,102186,0102186,경기도,고양시,일산서구,한류월드로,408,경기도 고양시 한류월드로,경기도 고양시 한류월드로 408,NAN,NAN,NAN,경기도　고양시　일산서구　킨텍스로　２１７－６０　제１킨텍스내　１층　　　　　　　　　　　　　　　　
농협은행,103143,0103143,인천광역시,서구,백석동,거월로,61,인천광역시 서구 거월로,인천광역시 서구 거월로 61,인천,서구,백석동,인천광역시　서구　자원순환로　１７０　수도권매립지관리공사　복지동　１층　　　　　　　　　　　　　　
농협은행,103758,0103758,경기도,용인시,기흥구,동백3로11번길,08월 01일,경기도 용인시 동백3로11번길,경기도 용인시 동백3로11번길 44774,경기,용인시 기흥구,중동,경기도　용인시　기흥구　동백３로１１번길　８－１　　제일프라자　２층　　　　　　　　　　　　　　　　
농협은행,104171,0104171,서울특별시,강서구,가양2동,양천로57길,09월 07일,서울특별시 강서구 양천로57길,서울특별시 강서구 양천로57길 44811,서울,강서구,가양동,서울특별시　강서구　양천로５７길　９－７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,104249,0104249,경상북도,경산시,진량읍,공단6로24길,09월 23일,경상북도 경산시 공단6로24길,경상북도 경산시 공단6로24길 44827,경북,경산시,진량읍 신상리,경상북도　경산시　진량읍　공단６로２４길　２３－９　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,104689,0104689,충청남도,태안군,태안읍,중앙로,68,충청남도 태안군 중앙로,충청남도 태안군 중앙로 68,NAN,NAN,NAN,충청남도　태안군　태안읍　중앙로　６８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,105345,0105345,충청남도,천안시,서북구,공대길,08월 18일,충청남도 천안시 공대길,충청남도 천안시 공대길 44791,충남,천안시 서북구,부대동,충청남도　천안시　서북구　천안대로　１２２３－２４　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,105581,0105581,서울특별시,용산구,이태원동,회나무로,4,서울특별시 용산구 회나무로,서울특별시 용산구 회나무로 4,NAN,NAN,NAN,서울특별시　용산구　회나무로　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,106373,0106373,강원도,속초시,대포동,대포항희망1길,Jan-87,강원도 속초시 대포항희망1길,강원도 속초시 대포항희망1길 31778,강원,속초시,대포동,강원도　속초시　대포항희망１길　８７－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,110440,0110440,서울특별시,서초구,서초동,효령로60길,16,서울특별시 서초구 효령로60길,서울특별시 서초구 효령로60길 16,서울,서초구,서초동,서울특별시　서초구　서초중앙로　６２　우일빌딩　１층　농협은행　　　　　　　　　　　　　　　　　　　
농협은행,110453,0110453,서울특별시,은평구,응암동,은평로,244,서울특별시 은평구 은평로,서울특별시 은평구 은평로 244,서울,은평구,응암동,서울특별시　은평구　은평로　２４０　힐스테이트녹번역상가　Ｂ３３２호　　　　　　　　　　　　　　　　
농협은행,111106,0111106,경기도,군포시,산본동,산본로323번길,05월 16일,경기도 군포시 산본로323번길,경기도 군포시 산본로323번길 44697,경기,군포시,산본동,경기도　군포시　산본로３２３번길　１６－５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,111229,0111229,경기도,수원시,장안구,조원로,01월 16일,경기도 수원시 조원로,경기도 수원시 조원로 44577,경기,수원시 장안구,조원동,경기도　수원시　장안구　조원로　１６－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,111821,0111821,경기도,여주시,여주읍,현암로,12월 21일,경기도 여주시 현암로,경기도 여주시 현암로 44916,경기,여주시,현암동,경기도　여주시　현암로　２１－１２　수원지방법원　여주지원내　　　　　　　　　　　　　　　　　　　　
농협은행,112134,0112134,강원도,원주시,태장2동,북원로,20-Jan,강원도 원주시 북원로,강원도 원주시 북원로 299500,강원,원주시,태장동,강원도　원주시　북원로　２７２０－１　（태장２동　１３６５－２번지）　　　　　　　　　　　　　　　　
농협은행,112312,0112312,강원도,정선군,사북읍,사북중앙로,01월 13일,강원도 정선군 사북중앙로,강원도 정선군 사북중앙로 44574,강원,정선군,사북읍 사북리,강원도　정선군　사북읍　사북중앙로　１３－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,112325,0112325,충청남도,서산시,해미면,신성로,330-1,충청남도 서산시 신성로,충청남도 서산시 신성로 330-1,NAN,NAN,NAN,충청남도　서산시　고북면　신성로　３３０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
농협은행,112914,0112914,경상북도,영덕군,영덕읍,화개길,09월 03일,경상북도 영덕군 화개길,경상북도 영덕군 화개길 44807,경북,영덕군,영덕읍 남석리,경상북도　영덕군　영덕읍　화개길　９－３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
