중소벤처기업협회 공시자료 기준 : http://diva.kvca.or.kr/div/dic/DivDisclsListInq (기준 일자 : 22.02.22),,,,,,,,,
회사명,전화번호,팩스번호,홈페이지주소,종업원수,사업자번호,결산월,주소,설립일자,공시담당자
KT인베스트먼트,02-739-8356,02-739-8358,0,11명 (남:9명/여:2명),426-87-00182,12월,(03154)  서울특별시 종로구 율곡로   6 트윈트리타워 A동 13층,2015-09-17,"최기양 팀장
(02-739-8262)"
NBH캐피탈,02-6471-0662,02-6471-0663,www.ajcapitalpartners.co.kr,8명 (남:6명/여:2명),142-81-08057,12월,(34167)  대전광역시 유성구 한밭대로 400   2층 202호,2007-07-02,"김혜민 과장
(02-6471-0659)"
가이아벤처파트너스,02-6451-5656,02-6451-5050,0,10명 (남:7명/여:3명),295-81-00169,12월,"(06170)  서울특별시 강남구 봉은사로 628   4층(삼성동,ELSON빌딩)",2015-09-22,"김민정 대리
(0264515700)"
경남벤처투자,055-606-0014,055-608-6250,www.gnvi.co.kr,6명 (남:5명/여:1명),174-86-01492,12월,"(51395)  경상남도 창원시 의창구 창원대로18번길 46   14층 11호(팔용동, 경남창원과학기술진흥원)",2019-09-26,"박해원 주임
(010-6740-3107)"
글로넷벤처파트너스,02-6949-3902,02-2135-3466,0,3명 (남:3명/여:0명),313-88-01446,12월,(13554)  경기도 성남시 분당구 정자일로 248   파크뷰상가 601호,2019-11-25,"김동섭 대표이사
(010-5291-1207)"
끌림벤처스,02-3473-1230,02-582-1230,0,6명 (남:4명/여:2명),708-88-01509,12월,"(06644)  서울특별시 서초구 서초중앙로 123   17층(서초동,삼남타워)",2020-03-02,"김진아 파트너
(010-9038-0962)"
나눔엔젤스,1029773200,0,0,5명 (남:3명/여:2명),332-86-01249,12월,(21985)  인천광역시 연수구 송도문화로 119   복합문화센터 비1014호(인천글로벌캠퍼스),2019-01-02,"엄철현 대표이사
(01029773200)"
나우아이비캐피탈,02-565-6234,02-565-6239,www.nauib.com,17명 (남:14명/여:3명),120-87-18329,12월,(06158)  서울특별시 강남구 삼성로 511   골든타워 11층 나우아이비캐피탈(주),2007-08-06,"이재규 전무
(02-565-6234)"
넥스트지인베스트먼트,02-569-5440,02-569-5441,www.Huayivc.com,4명 (남:2명/여:2명),217-81-48969,12월,"(06167)  서울특별시 강남구 삼성로100길 24-1   에이동 2층(삼성동, 오트리스빌딩)",2016-09-19,"순민영 대리
(02-569-5440)"
노틸러스인베스트먼트,7044683410,30334484008,0,12명 (남:8명/여:4명),201-87-01578,12월,"(21999)  인천광역시 연수구 갯벌로 12 (송도동, 미추홀타워(본관))   7-16호",2019-12-02,"안성호 전무
(01089660885)"
다날투자파트너스,031-697-1242,0,0,3명 (남:2명/여:1명),415-81-58284,12월,"(13591)  경기도 성남시 분당구 분당로 55   9층(서현동, 분당 퍼스트타워)",2019-12-05,"김민수 이사
(010-9597-4142)"
다담인베스트먼트,02-563-4050,02-6925-4050,0,11명 (남:9명/여:2명),220-88-59914,12월,"(06139)  서울특별시 강남구 언주로93길 10   3층 (역삼동, 후너스빌딩)",2013-06-20,"박나현 차장
(025634050)"
