"","KEY [2] (시 + 행정동)","인구_합(2015)"
"1","강릉_포남동",26404
"2","거제_옥포동",37408
"3","거제_장승동",NA
"4","경산_북면면",7942
"5","경산_서부동",62398
"6","고성군",82571
"7","고양_마두동",41876
"8","고양_백석동",47818
"9","고양_성사동",36882
"10","고양_일산구",564973
"11","고양_일산동",87894
"12","고양_장항동",30782
"13","고양_주엽동",59007
"14","고양_행신동",107705
"15","고양_화정동",74484
"16","광명_광명동",108964
"17","광명_소하동",64623
"18","광명_철산동",81730
"19","광명_하안동",80842
"20","광양_군서면",5776
"21","광양_남면면",6081
"22","광양_도암면",4094
"23","광양_마산면",4927
"24","광양_북일면",3489
"25","광주_건국동",NA
"26","광주_계림동",18605
"27","광주_금호동",52065
"28","광주_농성동",14312
"29","광주_동구구",109073
"30","광주_두암동",44793
"31","광주_문흥동",37639
"32","광주_방림동",18633
"33","광주_백운동",19338
"34","광주_봉선동",45884
"35","광주_산수동",18706
"36","광주_상무동",49736
"37","광주_송정동",17785
"38","광주_오치동",27230
"39","광주_우산동",39107
"40","광주_운암동",54430
"41","광주_월곡동",36104
"42","광주_월산동",27529
"43","광주_주월동",30705
"44","광주_중흥동",18635
"45","광주_지산동",11423
"46","광주_지원동",17578
"47","광주_첨단동",67520
"48","광주_화정동",59930
"49","구리_교문동",40797
"50","구리_수택동",71904
"51","구미_공단동",13242
"52","구미_신평동",7269
"53","구미_원평동",8428
"54","구미_형곡동",35602
"55","군산_나운동",82357
"56","군포_군포동",92604
"57","군포_산본동",51273
"58","김제_백산면",5190
"59","김제_성수면",3111
"60","김포_구래동",NA
"61","김포_김포동",NA
"62","김포_장기동",NA
"63","김해_장유동",142063
"64","남양주_다산동",NA
"65","당진_남면면",6532
"66","당진_당진동",60764
"67","대구_고산동",96441
"68","대구_남산동",30311
"69","대구_내당동",41759
"70","대구_대명동",106803
"71","대구_대봉동",10895
"72","대구_두류동",27838
"73","대구_만촌동",57178
"74","대구_범물동",30609
"75","대구_범어동",64061
"76","대구_복현동",40428
"77","대구_봉덕동",39112
"78","대구_비산동",62286
"79","대구_산격동",51286
"80","대구_상인동",80059
"81","대구_성내동",12697
"82","대구_송현동",43363
"83","대구_수성동",47740
"84","대구_신암동",56980
"85","대구_신천동",35798
"86","대구_안심동",NA
"87","대구_용산동",67889
"88","대구_월성동",62842
"89","대구_이곡동",46080
"90","대구_지산동",46119
"91","대구_침산동",43207
"92","대구_태전동",52073
"93","대구_평리동",66887
"94","대구_황금동",36045
"95","대구_효목동",31243
"96","대전_가양동",38352
"97","대전_갈마동",49991
"98","대전_관저동",49147
"99","대전_노은동",79989
"100","대전_도마동",43257
"101","대전_둔산동",76918
"102","대전_문화동",38675
"103","대전_온천동",82803
"104","대전_월평동",51971
"105","대전_유천동",20915
"106","대전_태평동",43036
"107","대전_판암동",20564
"108","동두천_생연동",19106
"109","동부",28732108
"110","면부",4774878
"111","목포_용당동",18465
"112","문경_점촌동",42355
"113","보령_대천동",59581
"114","부산_가야동",43399
"115","부산_감만동",23646
"116","부산_감천동",30673
"117","부산_개금동",59354
"118","부산_거제동",67542
"119","부산_광안동",66919
"120","부산_괴정동",63684
"121","부산_구서동",53037
"122","부산_구포동",67665
"123","부산_금사동",NA
"124","부산_남부동",16347
"125","부산_남천동",28573
"126","부산_다대동",74755
"127","부산_당감동",49681
"128","부산_대연동",95893
"129","부산_대저동",14463
"130","부산_덕천동",42110
"131","부산_덕포동",26943
"132","부산_동대동",21648
"133","부산_동삼동",51917
"134","부산_만덕동",53631
"135","부산_망미동",38900
"136","부산_명장동",29615
"137","부산_명지동",NA
"138","부산_모라동",42857
"139","부산_문현동",48889
"140","부산_반송동",46445
"141","부산_반여동",83142
"142","부산_범일동",NA
"143","부산_범천동",NA
"144","부산_봉래동",14923
"145","부산_부곡동",59900
"146","부산_부암동",44505
"147","부산_부전동",23201
"148","부산_사직동",49892
"149","부산_서대동",27013
"150","부산_수정동",25133
"151","부산_신평동",33184
"152","부산_안락동",47319
"153","부산_양정동",39542
"154","부산_연산동",135985
"155","부산_영선동",13931
"156","부산_영주동",13482
"157","부산_온천동",74063
"158","부산_용호동",85947
"159","부산_우1동",NA
"160","부산_우2동",NA
"161","부산_장림동",43155
"162","부산_장전동",NA
"163","부산_재송동",61588
"164","부산_전포동",39815
"165","부산_주례동",59630
"166","부산_청학동",27596
"167","부산_초량동",26035
"168","부산_하단동",52363
"169","부산_화명동",92685
"170","부천_고강동",45232
"171","부천_상동동",NA
"172","부천_성곡동",NA
"173","부천_소사동",NA
"174","부천_송내동",51425
"175","부천_심곡동",NA
"176","부천_역곡동",68116
"177","부천_오정동",NA
"178","부천_원미동",31891
"179","부천_원종동",48056
"180","부천_중동동",NA
"181","사천_동서동",12741
"182","삼척_남면면",18999
"183","삼척_동면면",5502
"184","삼척_북면면",10501
"185","삼척_서면면",13019
"186","상주_사벌면",NA
"187","서산_동문동",27983
"188","서울_가락동",61763
"189","서울_가양동",57080
"190","서울_갈현동",53282
"191","서울_개봉동",90097
"192","서울_개포동",69582
"193","서울_거여동",39014
"194","서울_고덕동",24989
"195","서울_고척동",54842
"196","서울_공릉동",85919
"197","서울_구로동",152570
"198","서울_구의동",76009
"199","서울_금호동",48960
"200","서울_길음동",52138
"201","서울_남가동",31836
"202","서울_노량동",50965
"203","서울_논현동",45464
"204","서울_답십동",53761
"205","서울_당산동",55024
"206","서울_대림동",76296
"207","서울_대치동",79937
"208","서울_도곡동",53300
"209","서울_도봉동",50593
"210","서울_독산동",108160
"211","서울_돈암동",38972
"212","서울_둔촌동",45948
"213","서울_등촌동",76951
"214","서울_마천동",42497
"215","서울_망우동",50021
"216","서울_망원동",41522
"217","서울_면목동",145481
"218","서울_명일동",39935
"219","서울_문정동",38181
"220","서울_반포동",97621
"221","서울_방배동",110899
"222","서울_방이동",40788
"223","서울_방학동",81491
"224","서울_방화동",90611
"225","서울_북가동",52458
"226","서울_불광동",68226
"227","서울_사당동",104783
"228","서울_삼성동",69833
"229","서울_상계동",222821
"230","서울_상도동",126109
"231","서울_상봉동",43368
"232","서울_서초동",96179
"233","서울_성내동",68211
"234","서울_성산동",59155
"235","서울_성수동",65002
"236","서울_송파동",46652
"237","서울_수유동",66178
"238","서울_숭인동",16880
"239","서울_시흥동",118637
"240","서울_신길동",107365
"241","서울_신내동",63584
"242","서울_신당동",18691
"243","서울_신대동",48635
"244","서울_신사동",92383
"245","서울_신월동",131466
"246","서울_신정동",182887
"247","서울_쌍문동",80980
"248","서울_암사동",69786
"249","서울_양재동",67070
"250","서울_양평동",37833
"251","서울_역삼동",67543
"252","서울_영등동",45074
"253","서울_오류동",NA
"254","서울_왕십동",35659
"255","서울_원효동",28210
"256","서울_월계동",84443
"257","서울_월곡동",48590
"258","서울_응암동",79806
"259","서울_이문동",55907
"260","서울_이촌동",34330
"261","서울_이태동",17865
"262","서울_일원동",56263
"263","서울_자양동",107987
"264","서울_잠실동",154015
"265","서울_장안동",67022
"266","서울_장위동",56101
"267","서울_전농동",51436
"268","서울_정릉동",88127
"269","서울_종로동",13390
"270","서울_중계동",116507
"271","서울_중곡동",85353
"272","서울_중화동",48277
"273","서울_창신동",25774
"274","서울_천호동",88946
"275","서울_풍납동",45254
"276","서울_하계동",53306
"277","서울_행당동",39642
"278","서울_홍은동",53015
"279","서울_홍제동",57230
"280","서울_화곡동",201835
"281","서울_휘경동",40776
"282","성남_구미동",49619
"283","성남_금광동",49431
"284","성남_복정동",NA
"285","성남_상대동",58512
"286","성남_서현동",49896
"287","성남_수내동",42205
"288","성남_수진동",37526
"289","성남_신흥동",54655
"290","성남_야탑동",65923
"291","성남_은행동",38678
"292","성남_이매동",40240
"293","성남_정자동",81911
"294","성남_태평동",67279
"295","세종_아름동",NA
"296","세종_한솔동",NA
"297","세종시",408176
"298","수원_광교동",67471
"299","수원_권선동",69720
"300","수원_망포동",NA
"301","수원_매탄동",101846
"302","수원_세류동",62872
"303","수원_영통동",NA
"304","수원_우만동",41061
"305","수원_정자동",112154
"306","수원_조원동",51392
"307","수원_화서동",55373
"308","순천_왕조동",60893
"309","시흥_정왕동",NA
"310","아산_온양동",122253
"311","안산_고잔동",NA
"312","안산_본오동",98430
"313","안산_선부동",81324
"314","안산_원곡동",NA
"315","안성_안성동",55896
"316","안양_관양동",53923
"317","안양_박달동",39373
"318","안양_비산동",63504
"319","안양_석수동",69244
"320","안양_안양동",136688
"321","안양_호계동",67779
"322","양주_양주동",59153
"323","양주_회천동",78062
"324","영주_가흥동",22042
"325","영주_영주동",8739
"326","영주_휴천동",27253
"327","용인_동백동",NA
"328","용인_상갈동",NA
"329","용인_상현동",76263
"330","용인_영덕동",NA
"331","용인_죽전동",80257
"332","용인_풍덕동",72999
"333","울산_남목동",51914
"334","울산_농소동",104950
"335","울산_반구동",28895
"336","울산_병영동",46977
"337","울산_복산동",19370
"338","울산_신정동",94437
"339","울산_전하동",40573
"340","원주_명륜동",27725
"341","원주_태장동",35555
"342","읍부",4616802
"343","의왕_내손동",54684
"344","의정부_가능동",NA
"345","의정부_송산동",NA
"346","의정부_신곡동",90208
"347","의정부_의정동",NA
"348","의정부_호원동",71018
"349","익산_영등동",41381
"350","인천_가정동",33611
"351","인천_가좌동",63868
"352","인천_간석동",105148
"353","인천_갈산동",39020
"354","인천_검단동",NA
"355","인천_계산동",85419
"356","인천_계양동",87685
"357","인천_관교동",NA
"358","인천_구월동",113474
"359","인천_논현동",112487
"360","인천_도화동",NA
"361","인천_동춘동",55794
"362","인천_만수동",132076
