지점명,주소,다행
전주지점,서울 용산구 한강대로72길 3,"20,000 "
의정부지점,서울 영등포구 가마산로 343,0 
창원지점,경남 창원시 마산회원구 3.15대로 642,"57,195 "
서초지점,충남 천안시 동남구 용수골길 23,"2,226 "
강남지점,서울 강서구 공항대로 395,"4,644 "
여의도지점,서울 영등포구 여의공원로 111,"48,716 "
평택지점,경기 화성시 양감면 은행나무로 456,"28,407 "
종로지점,서울 종로구 새문안로 50,267 
김해지점,경남 김해시 생림면 봉림로 115-92,"1,890 "
금정지점,경북 김천시 아포읍 인2길 79,"4,000 "
진주지점,경남 진주시 남강로 1003,"176,650 "
한티지점,"서울 강남구 테헤란로 508, 2층","19,000 "
금정지점,부산 사상구 삼덕로5번길 148,"64,733 "
금정지점,부산 연제구 중앙대로 1079,"67,190 "
가산지점,서울 영등포구 영중로 15,"100,000 "
서초지점,서울 중구 수표로 34,0 
춘천지점,"경기 성남시 분당구 대왕판교로 670, B동 903호",900 
시화지점,경기 시흥시 공단1대로379번안길 74,"44,208 "
종로지점,서울 용산구 한강대로 273,"4,000 "
금정지점,경남 밀양시 부북면 춘화로 85,"20,950 "
종로지점,서울 중구 세종대로9길 20,"746,106 "
시화지점,경기 안산시 단원구 신원로 50,"17,500 "
김해지점,경북 포항시 남구 철강로314번길 53,"2,494 "
포항지점,경북 포항시 남구 대송면 송덕로212번길 195,"21,451 "
영업부,"서울 강서구 공항대로 535, 9층 901호","6,900 "
동탄지점,경기 화성시 만년로 905-17,"10,000 "
영업부,"서울 강남구 테헤란로 507, 16층","35,000 "
기업금융3실,경기 과천시 코오롱로 11,"182,000 "
종로지점,서울 강남구 논현로 508,"57,049 "
전주지점,전북 전주시 덕진구 온고을로 384,"6,708 "
강남지점,경기 안산시 단원구 해안로 104,"107,000 "
서초지점,"서울 종로구 종로5길 7, 10층 - 14층","91,953 "
성서지점,대구 달서구 달서대로109길 38,"3,700 "
해운대지점,경기 화성시 향남읍 발안공단로4길 16,"3,125 "
잠실지점,전남 광양시 산업로 55,"40,000 "
포항지점,대구 서구 국채보상로 71,"6,249 "
가산지점,경기 수원시 팔달구 효원로 295,0 
가산지점,"경기도 안산시 단원구 원시동779-1, 779-2","10,000 "
인천지점,인천 연수구 송도과학로16번길 13-40,"102,397 "
분당지점,"경기 성남시 분당구 판교역로 240, A동 711호","64,850 "
남울산지점,울산 울주군 온산읍 화산2길 34-5,"44,561 "
안양지점,"경기 안양시 동안구 평촌대로 369, 3층","2,000 "
천안지점,충남 천안시 서북구 입장면 호당리 340번지,"11,000 "
,"서울 동작구 남부순환로 2049, 2층","2,000 "
경산지점,경북 경산시 진량읍 공단6로 98,"76,354 "
마포지점,"부산 남구 수영로 295, 401호","10,000 "
군산지점,서울 종로구 종로33길 31,"5,000 "
시화지점,경기 시흥시 경제로 57,"29,900 "
수원지점,경북 영주시 적서공단로 23,0 
창원지점,경남 창원시 성산구 남면로 599,0 
창원지점,경남 창원시 성산구 웅남로 654-24,"18,400 "
시화지점,"전북 군산시 가도로 130-18, 1층","22,021 "
부산지점,경남 함안군 칠서면 공단동길 98,"120,875 "
마곡지점,"서울 마포구 새창로 7, 3층","2,000 "
종로지점,서울 중구 소공로 51,"874,127 "
마포지점,충북 청주시 흥덕구 오송읍 오송생명2로 22,"6,000 "
부산지점,부산 남구 문현금융로 30,"159,085 "
경산지점,경북 경산시 진량읍 북리1길 69,"4,798 "
압구정지점,대전 대덕구 대화로119번길 31,"75,031 "
군산지점,경기 이천시 대월면 사동로 76,"96,300 "
대덕지점,대전 유성구 대덕대로989번길 242,"100,770 "
포항지점,경북 포항시 남구 대송면 송덕로 125-15,"14,000 "
시화지점,충북 청주시 흥덕구 옥산면 과학산업3로 50,"29,869 "
여의도지점,서울 영등포구 여의나루로 60,"15,000 "
화성지점,경기 화성시 영통로26번길 72,0 
종로지점,충남 아산시 둔포면 아산밸리동로 100,"159,000 "
여의도지점,충남 천안시 동남구 풍세면 풍세로 515,"17,200 "
오창지점,충북 청주시 흥덕구 오송읍 오송생명1로 270,"2,000 "
천안지점,인천 중구 자유무역로 191,"43,589 "
부산지점,"서울 강남구 봉은사로 215, 11층","10,748 "
천안지점,충남 천안시 동남구 만남로 76,"29,697 "
성서지점,대구 달성군 논공읍 논공로53길 36,"85,805 "
시화지점,인천 남동구 호구포로 97,"29,763 "
노원지점,경기 남양주시 다산순환로 45,0 
기업금융1실,부산 사하구 신산로 99,"26,398 "
부천지점,경기 부천시 오정로 215,0 
청주지점,충북 음성군 삼성면 금일로965번길 105,"57,352 "
여의도지점,서울 영등포구 국제금융로2길 24,"14,465 "
여의도지점,경북 포항시 북구 청하면 고현길98번길 66,"26,205 "
마곡지점,충북 음성군 금왕읍 대금로 1064-10,0 
안산지점,인천 서구 백범로 644,"167,899 "
일산지점,서울 서초구 양재대로 246,0 
대구지점,경북 영주시 가흥공단로 63,"10,000 "
종로지점,"서울 종로구 인사동길 12, 8층","20,515 "
분당지점,"서울 동작구 보라매로5길 15, 27층","67,013 "
경산지점,경북 경산시 진량읍 공단8로26길 35,0 
종로지점,서울 영등포구 국제금융로8길 26,"825,041 "
남울산지점,울산 남구 산업로382번길 49,"4,000 "
경산지점,경북 영천시 도남공단3길 56,"8,569 "
,경기 화성시 정남면 내향안길 240-11,"5,400 "
남울산지점,서울 서초구 사평대로 84,"136,500 "
성동지점,서울 동대문구 천호대로 64,"97,866 "
대구지점,경북 칠곡군 석적읍 3공단2로 64,"4,500 "
강남지점,서울 강남구 테헤란로104길 21,"5,000 "
부산지점,부산 사하구 하신번영로 69,"24,170 "
영업부,"서울 중구 세종대로 39, 10층","39,000 "
서초지점,경기 안양시 만안구 박달로 351,"8,000 "
시화지점,경기 시흥시 경기과기대로 252,"56,214 "
천안지점,충남 천안시 동남구 수신면 수신로 739,"49,000 "
압구정지점,세종 전동면 노장공단길 25-23,"15,800 "
수원지점,경기 용인시 처인구 원삼면 죽양대로1763번길 60,"6,700 "
압구정지점,서울 강남구 강남대로 542,"35,540 "
기업구조조정2실,경남 창원시 성산구 중앙대로 105,"138,712 "
울산지점,울산 남구 사평로 251,"5,100 "
종로지점,서울 중구 소공로 94,"24,073 "
부산지점,부산 영도구 태종로 63,"25,382 "
용인지점,경기 화성시 동탄대로25길 21,"20,600 "
전주지점,전북 전주시 덕진구 백제대로 566,"8,452 "
전주지점,서울 마포구 상암산로 48-6,"11,970 "
영업부,경기 평택시 세교산단로 68-13,"1,000 "
충주지점,"서울 강남구 강남대로 310, 3층","138,250 "
여수지점,서울 강남구 테헤란로113길 15,"5,036 "
금천지점,경기 용인시 기흥구 이현로30번길 107,"60,000 "
해운대지점,부산 해운대구 반송로513번길 18,"27,000 "
부천지점,충남 아산시 음봉면 음봉면로 243,"8,500 "
반포지점,서울 마포구 마포대로 137,"15,000 "
분당지점,경기 성남시 분당구 야탑로 96-8,"30,000 "
안산지점,경기 안산시 단원구 목내동 477-1번지,"4,300 "
가산지점,경기 안산시 단원구 성곡로 79,"9,000 "
의정부지점,경기 용인시 기흥구 하갈로 127,"3,000 "
전주지점,전북 정읍시 공단2길 3,"32,152 "
서소문지점,전북 익산시 삼기면 삼기농공단지길 6-37,"3,088 "
종로지점,서울 종로구 청계천로 1,"34,400 "
울산지점,울산 울주군 청량읍 상개로 63-15,"80,000 "
평택지점,경기 평택시 팽성읍 추팔산단로 63,"9,665 "
한티지점,서울 강남구 테헤란로 301,0 
청주지점,충북 음성군 대소면 대금로 157,"40,594 "
인천지점,인천 서구 사렴로9번길 22,"2,500 "
잠실지점,서울 강남구 역삼로7길 21,"10,000 "
일산지점,경기 파주시 탄현면 평화로 711,"11,500 "
가산지점,서울 구로구 디지털로27가길 27,"40,270 "
금천지점,서울 구로구 디지털로27길 33,"20,000 "
송도지점,인천 남동구 호구포로120번길 104,0 
압구정지점,서울 강남구 봉은사로 327,"10,240 "
종로지점,서울 종로구 종로 47,"3,707 "
기업구조조정1실,경북 포항시 남구 대송로83번길 61,0 
시화지점,경기 시흥시 희망공원로 213,"32,335 "
시화지점,경기 안산시 단원구 강촌로139번길 9,"10,000 "
강남지점,경기 안산시 단원구 산단로19번길 168,0 
해양산업금융실,서울 중구 을지로 80-1,"11,537 "
마곡지점,"경기 성남시 분당구 탄천상로 164, 257-1호",0 
기업금융1실,경기 평택시 안중읍 덕우로 423,"25,000 "
잠실지점,경기 안산시 단원구 강촌로 140,"54,248 "
남울산지점,울산 남구 처용로 260-37,"12,428 "
구미지점,경북 김천시 남면 아포대로 326-14,"6,103 "
여의도지점,"서울 강남구 테헤란로 512, 14층","117,112 "
종로지점,서울 중구 소공로 88,"17,309 "
부천지점,인천 미추홀구 염전로 91,"7,000 "
노원지점,경기 양주시 남면 감악산로199번길 71-30,0 
금천지점,"서울 금천구 디지털로 130, 15층","30,835 "
부천지점,인천 미추홀구 염전로 91,"47,362 "
네트워크지원실,"서울 서초구 강남대로 329, 8층","40,510 "
김해지점,경남 김해시 진영읍 서부로179번길 38,"6,655 "
대구지점,대구 수성구 달구벌대로 2310,"238,134 "
시화지점,"경기 안양시 만안구 만안로 49, 1407호","30,000 "
안산지점,충북 충주시 충주호수로 36,"78,816 "
진주지점,경남 진주시 대곡면 대화로 92,"6,100 "
기업금융4실,서울 중구 동호로 287,"52,178 "
인천지점,인천 연수구 갯벌로 118,"15,303 "
성서지점,대구 달서구 성서동로 163,"7,000 "
분당지점,경기 성남시 중원구 사기막골로31번길 18,"90,000 "
청주지점,충북 음성군 삼성면 대성로547번길 73,"10,212 "
대덕지점,대전 대덕구 문평동로48번길 125,"11,707 "
압구정지점,서울 성동구 천호대로 386,"53,000 "
대전지점,대전 대덕구 문평서로 42,"9,500 "
,,0 
목포지점,전남 화순군 화순읍 충의로 85-1,"10,000 "
강남지점,울산 울주군 온산읍 이진로 71,"10,000 "
여수지점,전남 여수시 여수산단로 1232,"40,475 "
잠실지점,서울 강동구 상일로6길 39,"20,000 "
서소문지점,서울 중구 퇴계로 286,"4,000 "
목포지점,전남 영암군 삼호읍 대불산단8로 58,"2,739 "
창원지점,경남 창원시 성산구 중앙대로39번길 14,"1,800 "
송도지점,전북 완주군 봉동읍 완주산단6로 266,"26,154 "
동탄지점,경기 용인시 기흥구 동탄기흥로681번길 1,"23,030 "
부천지점,인천 서구 가정로37번길 5,"5,000 "
양산지점,경남 양산시 어실로 77,"10,000 "
금남로지점,광주 남구 대남대로 238,"9,300 "
양산지점,경남 양산시 어실로 89,"24,530 "
청주지점,충북 진천군 이월면 생거진천로 1770,"43,065 "
가산지점,충남 천안시 서북구 성거읍 천흥리 378-1번지,"3,000 "
반포지점,"서울 구로구 디지털로33길 27, 1101호","3,000 "
포항지점,경북 포항시 북구 해동로 319,"4,000 "
구미지점,부산 서구 충무대로 146,"3,000 "
대구지점,경북 김천시 공단3길 64,"43,759 "
안산지점,경기 안산시 단원구 엠티브이21로 20,"34,532 "
청주지점,충북 청주시 청원구 북이면 충청대로 1217,"15,000 "
대전지점,충남 천안시 서북구 직산읍 4산단3로 135,"5,000 "
울산지점,울산 울주군 온산읍 처용산업2길 12,"50,000 "
양산지점,경남 양산시 소주회야로 45-73,"20,700 "
충주지점,경기 성남시 분당구 운중로 136,"76,000 "
종로지점,서울 영등포구 여의공원로 111,800 
성서지점,대구 달성군 논공읍 논공중앙로 275,"61,658 "
분당지점,경기 평택시 진위면 가곡4길 94,0 
여수지점,경남 진주시 이반성면 진마대로2498번길 10-12,"3,000 "
당진지점,충남 보령시 대천항중앙길 30,"2,270 "
전주지점,전남 목포시 삼일로 11 (남교동),"10,000 "
용인지점,경기 안산시 단원구 산단로163번길 23,0 
강남지점,서울 강남구 삼성동 159번지,0 
안양지점,경기 안양시 동안구 부림로 100,"70,014 "
영업부,경기 평택시 청북읍 청북산단로 138,"110,750 "
서초지점,"서울 서초구 남부순환로 2583, 9층","51,157 "
울산지점,울산 울주군 범서읍 정지불길 119,"4,300 "
안산지점,경기 시흥시 소망공원로 5,"44,556 "
금천지점,"서울 영등포구 경인로 775, 2동 401호","22,000 "
인천지점,인천 서구 가정로97번길 28,"100,153 "
여의도지점,"서울 영등포구 여의나루로 71, 8층 809호","1,750 "
당진지점,"서울 금천구 벚꽃로 278, 6층","34,200 "
금정지점,부산 사하구 다산로 110,"84,000 "
성서지점,대구 달서구 성서공단북로3길 12,"21,791 "
대전지점,대전 서구 영골길 158,"5,000 "
영업부,부산 중구 충장대로9번길 52,"10,000 "
종로지점,서울 중구 을지로 35,"792,603 "
